Task name,Task description,Start time,End time,Duration,Duration in hours,Note,Tag
theta,NA,29/07/2018 1:51 pm,29/07/2018 2:17 pm,00:26:14,0.4373774,NA,theta
psi,NA,29/07/2018 2:24 pm,29/07/2018 2:29 pm,00:04:18,0.0717819,NA,psi
theta,NA,29/07/2018 8:42 pm,29/07/2018 8:51 pm,00:09:09,0.1526172,NA,theta
theta,NA,29/07/2018 8:56 pm,29/07/2018 9:30 pm,00:34:14,0.5706084,NA,theta
review,NA,30/07/2018 7:37 am,30/07/2018 7:40 am,00:02:46,0.0463875,NA,psi
psi,NA,30/07/2018 7:40 am,30/07/2018 7:58 am,00:17:51,0.297631,NA,psi
review,NA,30/07/2018 7:58 am,30/07/2018 8:07 am,00:09:38,0.1605811,NA,psi
psi,NA,30/07/2018 8:28 am,30/07/2018 8:43 am,00:15:11,0.2530603,NA,psi
review,NA,30/07/2018 8:52 am,30/07/2018 8:54 am,00:01:42,0.0284979,NA,psi
phi,NA,30/07/2018 9:43 am,30/07/2018 10:05 am,00:22:25,0.3736442,NA,phi
review,NA,30/07/2018 10:05 am,30/07/2018 10:10 am,00:04:57,0.0825973,NA,psi
review,NA,30/07/2018 11:40 am,30/07/2018 11:44 am,00:04:23,0.073055899999999993,NA,psi
theta,NA,30/07/2018 12:10 pm,30/07/2018 12:55 pm,00:44:59,0.7499592,NA,theta
review,NA,30/07/2018 12:55 pm,30/07/2018 12:59 pm,00:04:16,0.0711884,NA,psi
theta,NA,30/07/2018 12:59 pm,30/07/2018 1:20 pm,00:20:59,0.3497933,NA,theta
review,NA,30/07/2018 1:20 pm,30/07/2018 1:23 pm,00:03:29,0.0581151,NA,psi
theta,NA,30/07/2018 1:23 pm,30/07/2018 1:42 pm,00:18:21,0.3058602,NA,theta
psi,NA,30/07/2018 2:17 pm,30/07/2018 2:37 pm,00:20:38,0.3440449,NA,psi
Blog  crafts  wellness,NA,30/07/2018 2:46 pm,30/07/2018 3:26 pm,00:40:14,0.6706172,NA,wellness
phi,NA,30/07/2018 4:06 pm,30/07/2018 4:26 pm,00:19:49,0.3303548,NA,phi
review,NA,30/07/2018 4:26 pm,30/07/2018 4:33 pm,00:06:41,0.1114776,NA,psi
phi,NA,30/07/2018 4:33 pm,30/07/2018 4:53 pm,00:20:03,0.3341907,NA,phi
review,NA,30/07/2018 4:53 pm,30/07/2018 4:58 pm,00:05:17,0.0881688,NA,psi
psi,NA,31/07/2018 12:30 pm,31/07/2018 1:09 pm,00:39:01,0.6505259,NA,psi
phi,NA,31/07/2018 3:28 pm,31/07/2018 3:43 pm,00:14:42,0.2450166,NA,phi
psi,NA,31/07/2018 3:43 pm,31/07/2018 3:45 pm,00:01:29,0.0249164,NA,psi
phi,NA,31/07/2018 3:45 pm,31/07/2018 3:53 pm,00:08:44,0.1456302,NA,phi
review,NA,31/07/2018 3:53 pm,31/07/2018 4:01 pm,00:07:18,0.1217549,NA,psi
psi,NA,31/07/2018 4:01 pm,31/07/2018 4:08 pm,00:07:25,0.1237073,NA,psi
phi,NA,31/07/2018 4:08 pm,31/07/2018 4:20 pm,00:11:42,0.1950894,NA,phi
phi,NA,31/07/2018 4:21 pm,31/07/2018 5:06 pm,00:44:40,0.7444733,NA,phi
review,NA,31/07/2018 5:07 pm,31/07/2018 5:08 pm,00:01:15,0.0208491,NA,psi
review,NA,01/08/2018 7:25 am,01/08/2018 7:28 am,00:02:55,0.0486232,NA,psi
review,NA,01/08/2018 7:29 am,01/08/2018 7:34 am,00:05:07,0.0853191,NA,psi
psi,NA,01/08/2018 8:43 am,01/08/2018 9:07 am,00:24:04,0.4012671,NA,psi
psi,NA,01/08/2018 11:07 am,01/08/2018 11:24 am,00:16:30,0.2752328,NA,psi
theta,NA,01/08/2018 11:29 am,01/08/2018 11:45 am,00:16:37,0.2770389,NA,theta
review,NA,02/08/2018 12:48 pm,02/08/2018 1:05 pm,00:16:47,0.2798732,NA,psi
psi,NA,02/08/2018 1:05 pm,02/08/2018 1:19 pm,00:13:22,0.2229122,NA,psi
review,NA,02/08/2018 1:19 pm,02/08/2018 1:26 pm,00:07:03,0.1177566,NA,psi
psi,NA,02/08/2018 1:26 pm,02/08/2018 1:40 pm,00:14:26,0.2406985,NA,psi
theta,NA,02/08/2018 1:40 pm,02/08/2018 1:46 pm,00:06:09,0.1025483,NA,theta
psi,NA,02/08/2018 1:46 pm,02/08/2018 1:49 pm,00:02:35,0.0431589,NA,psi
psi,NA,02/08/2018 1:49 pm,02/08/2018 2:22 pm,00:33:26,0.5572895,NA,psi
theta,NA,02/08/2018 2:31 pm,02/08/2018 2:54 pm,00:23:30,0.3916824,NA,theta
review,NA,03/08/2018 8:42 am,03/08/2018 8:48 am,00:06:26,0.1072448,NA,psi
psi,NA,03/08/2018 8:48 am,03/08/2018 9:28 am,00:39:53,0.6647867,NA,psi
review,NA,03/08/2018 9:28 am,03/08/2018 9:36 am,00:07:54,0.1319103,NA,psi
review,NA,05/08/2018 10:17 am,05/08/2018 10:20 am,00:02:36,0.0434616,NA,psi
psi,NA,05/08/2018 10:20 am,05/08/2018 10:32 am,00:12:55,0.2155397,NA,psi
phi,NA,05/08/2018 11:06 am,05/08/2018 11:29 am,00:23:26,0.3906453,NA,phi
theta,NA,05/08/2018 11:29 am,05/08/2018 11:49 am,00:20:06,0.3352244,NA,theta
review,NA,05/08/2018 11:49 am,05/08/2018 11:51 am,00:01:56,0.0324402,NA,psi
psi,NA,05/08/2018 11:51 am,05/08/2018 12:06 pm,00:14:56,0.2490816,NA,psi
phi,NA,05/08/2018 2:41 pm,05/08/2018 2:43 pm,00:02:25,0.0405076,NA,phi
phi,NA,05/08/2018 2:43 pm,05/08/2018 2:44 pm,00:01:19,0.0220934,NA,phi
phi,NA,05/08/2018 2:44 pm,05/08/2018 2:53 pm,00:09:01,0.1503142,NA,phi
phi,NA,05/08/2018 3:03 pm,05/08/2018 3:09 pm,00:05:52,0.0979075,NA,phi
phi,NA,05/08/2018 3:15 pm,05/08/2018 3:36 pm,00:20:16,0.3379229,NA,phi
phi,NA,05/08/2018 3:36 pm,05/08/2018 3:40 pm,00:04:13,0.070435,NA,phi
review,NA,05/08/2018 3:40 pm,05/08/2018 3:42 pm,00:01:53,0.0315399,NA,psi
theta,NA,05/08/2018 3:42 pm,05/08/2018 4:02 pm,00:20:35,0.3431015,NA,theta
psi,NA,05/08/2018 4:10 pm,05/08/2018 4:25 pm,00:14:52,0.2478425,NA,psi
review,NA,05/08/2018 4:38 pm,05/08/2018 4:39 pm,00:01:04,0.0178266,NA,psi
phi,NA,05/08/2018 4:40 pm,05/08/2018 5:01 pm,00:20:15,0.3376618,NA,phi
review,NA,05/08/2018 5:10 pm,05/08/2018 5:11 pm,00:01:39,0.0276986,NA,psi
phi,NA,05/08/2018 5:11 pm,05/08/2018 5:28 pm,00:16:56,0.2823941,NA,phi
phi,NA,05/08/2018 5:41 pm,05/08/2018 5:42 pm,00:01:29,0.024944,NA,phi
review,NA,06/08/2018 9:12 am,06/08/2018 9:22 am,00:10:19,0.171974,NA,psi
review,NA,06/08/2018 9:22 am,06/08/2018 9:26 am,00:04:05,0.0681999,NA,psi
review,NA,06/08/2018 9:37 am,06/08/2018 9:41 am,00:04:01,0.0671321,NA,psi
phi,NA,06/08/2018 9:41 am,06/08/2018 10:04 am,00:22:33,0.3759787,NA,phi
phi,NA,06/08/2018 10:04 am,06/08/2018 10:19 am,00:15:26,0.2573969,NA,phi
phi,NA,06/08/2018 10:20 am,06/08/2018 10:34 am,00:13:46,0.2296455,NA,phi
review,NA,06/08/2018 10:34 am,06/08/2018 10:39 am,00:04:51,0.0810202,NA,psi
phi,NA,06/08/2018 10:39 am,06/08/2018 10:47 am,00:07:46,0.1295655,NA,phi
phi,NA,06/08/2018 12:49 pm,06/08/2018 12:53 pm,00:04:26,0.073978,NA,phi
